order_week,Month,Year,adStock_Traditional Marketing,adStock_Digital Marketing,adStock_Partnership Marketing,adStock_Other Marketing,gmv,units,sla,product_procurement_sla,product_mrp,selling_price,NPS,discount,total_transactions,total_premium_products,total_holidays,is_holiday,total_special_sale_days,is_special_sale_day,total_pay_days,is_pay_day,Binoculars,CameraAccessory,CameraBag,CameraBattery,CameraBatteryCharger,CameraBatteryGrip,CameraEyeCup,CameraFilmRolls,CameraHousing,CameraMicrophone,CameraMount,CameraRemoteControl,CameraTripod,ExtensionTube,Filter,Flash,FlashShoeAdapter,Lens,ReflectorUmbrella,Softbox,Strap,Telescope
38,9,2015,25.02525582932999,9.297754494660058,25.46136787991953,0.0,2144926.0,3002,6.807453416149069,2.880952380952381,1604.0904071773637,720.4730848861284,46.925418687263985,0.4695859213250517,2898,2898,0.0,0.0,0.0,0.0,1.0,1.0,197,48,261,646,167,8,0,16,0,0,12,137,618,1,225,241,0,380,0,0,14,31
39,9,2015,25.84188011234745,9.543353161801107,26.291425978125858,0.0,2139751.0,3065,6.35885328836425,3.1200674536256323,1763.870826306914,707.1483979763913,46.925418687263985,0.5080236087689713,2965,2965,0.0,0.0,0.0,0.0,0.0,0.0,201,50,231,630,175,11,0,23,0,0,14,131,878,0,213,136,0,326,0,0,20,26
40,9,2015,26.250192253856177,9.666152495371634,26.706455027229023,0.0,2699984.0,4549,5.702137232845894,2.5619797525309336,1738.5367829021372,596.2960629921259,45.82762465946648,0.6004994375703037,4445,4445,0.0,0.0,0.0,0.0,1.0,1.0,255,43,211,616,172,10,0,23,0,0,7,113,2319,0,214,142,0,379,0,0,25,20
41,10,2015,40.30651175763607,29.438468744602584,40.726020756207156,0.0,2184495.0,3020,6.331067301155676,2.737933378653977,1623.1651937457511,726.6414004078858,44.3983889339963,0.4814887831407206,2942,2942,0.0,0.0,1.0,1.0,0.0,0.0,211,33,219,630,184,9,0,31,0,0,11,112,832,0,191,164,0,354,0,0,22,17
42,10,2015,42.64923167493272,32.73385478614108,43.062615044370176,0.0,6300403.9811929865,10001,6.467903142709943,2.998557444616177,1504.2510046367852,638.3002034602431,44.3983889339963,0.5506450283359093,9705,9705,1.0,1.0,4.0,1.0,1.0,1.0,726,64,879,1424,423,12,0,33,0,0,18,309,2348,0,952,1140,0,1597,0,0,29,47
43,10,2015,43.820591633581046,34.38154780691032,44.23091218845169,0.0,2260410.110548649,3142,7.053495241220873,2.77321956022317,1535.5073843124385,726.7831015912861,44.39838893399631,0.46943551033803743,3047,3047,0.0,0.0,0.0,0.0,0.0,0.0,327,34,275,602,224,9,0,29,0,0,14,136,597,0,238,184,0,427,0,0,24,22
44,11,2015,17.247085251826213,17.903781028266806,18.235675700564077,0.0,2993167.50150659,4402,6.57877512856475,2.992052360916316,1493.3134642356242,687.0224405100973,44.68664598058016,0.48373071528751754,4278,4278,1.0,1.0,0.0,0.0,1.0,1.0,373,36,320,703,232,12,0,22,0,0,12,137,758,0,292,937,0,515,0,0,29,24
45,11,2015,13.01339418130846,15.432102068621095,14.097852476596394,0.0,3042663.0,4544,6.226110363391656,2.8553162853297445,1495.330641543293,673.699865410498,46.99999999999999,0.5027366532077164,4458,4458,0.0,0.0,2.0,1.0,0.0,0.0,343,28,307,637,210,15,0,23,0,0,21,137,791,0,251,1293,0,446,0,0,28,14
46,11,2015,10.750128651218546,13.990300961202085,11.882903721602364,0.0,2482085.000542772,3706,6.735984534658934,2.847555923777962,1584.9516708091687,673.8472799068688,46.99999999999999,0.48140016570008287,3621,3621,1.0,1.0,4.0,1.0,1.0,1.0,227,22,296,649,199,6,0,32,0,0,13,165,676,0,284,573,0,508,0,0,29,27
47,11,2015,9.618495886173587,13.26940040749258,10.77542934410535,0.0,2029373.0,2862,6.170687792581923,2.82607129996399,1629.2715160244868,714.7176809506661,46.99999999999999,0.4805401512423479,2777,2777,0.0,0.0,0.0,0.0,0.0,0.0,212,32,216,543,179,4,0,28,0,0,12,114,666,1,193,299,0,324,0,0,23,16
